Actividad económica,Entidad,Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total de la actividad económica,Total nacional ,Total nacional -Total de la actividad económica,12559105,13050687,13347722,13931384,14254464,14402757,13648547,14352401,14875797,15430993,15642620,16067780,16573100,17028177
Total de la actividad económica,Aguascalientes ,Aguascalientes -Total de la actividad económica,121198,126554,129628,138112,150305,150950,143254,152205,158934,167706,172820,192080,197911,216703
Total de la actividad económica,Baja California ,Baja California -Total de la actividad económica,399515,423005,433008,456019,461581,457557,407746,428163,440701,456024,465525,474522,506093,524405
Total de la actividad económica,Baja California Sur ,Baja California Sur -Total de la actividad económica,76048,81546,87398,93656,106199,108975,108339,110656,114708,117346,115028,114169,130296,133147
Total de la actividad económica,Campeche ,Campeche -Total de la actividad económica,1047511,1059561,1038534,1014280,947575,867231,780757,753969,726504,714787,721085,686747,638083,600771
Total de la actividad económica,Coahuila de Zaragoza ,Coahuila de Zaragoza -Total de la actividad económica,436574,449144,458868,480488,500479,498327,421327,489952,523207,549552,538207,566409,573496,583873
Total de la actividad económica,Colima ,Colima -Total de la actividad económica,67733,67794,68258,72534,77526,78954,76447,81992,87945,90540,91422,93679,95850,101336
Total de la actividad económica,Chiapas ,Chiapas -Total de la actividad económica,248123,238376,240280,248414,252536,258290,256698,270989,279447,284734,280925,294769,291842,288692
Total de la actividad económica,Chihuahua ,Chihuahua -Total de la actividad económica,360427,376663,389211,419632,434650,440793,401079,417796,427430,459166,476290,486651,513199,539144
Total de la actividad económica,Ciudad de México ,Ciudad de México -Total de la actividad económica,2132929,2226950,2258092,2374723,2408566,2450391,2362516,2446910,2533807,2633935,2673066,2736587,2842349,2974071
Total de la actividad económica,Durango ,Durango -Total de la actividad económica,152923,157662,155002,160388,162710,165723,163084,169268,176315,182943,189053,193974,195841,202998
Total de la actividad económica,Guanajuato ,Guanajuato -Total de la actividad económica,438354,450953,454626,477647,488730,503024,481675,517169,548163,570922,594576,623184,661819,691613
Total de la actividad económica,Guerrero ,Guerrero -Total de la actividad económica,182714,192558,195220,199541,204880,208285,201239,211891,214478,218118,218811,228386,232053,238468
Total de la actividad económica,Hidalgo ,Hidalgo -Total de la actividad económica,179553,191550,190074,195405,201655,208800,195581,206304,214569,222797,230983,241450,254171,264242
Total de la actividad económica,Jalisco ,Jalisco -Total de la actividad económica,794957,819238,842129,886010,913140,918573,870319,925372,953148,995286,1018579,1061952,1109591,1161406
Total de la actividad económica,México ,México -Total de la actividad económica,1048404,1073841,1099377,1150702,1184658,1198144,1138728,1226814,1283448,1339995,1365154,1402021,1436487,1478587
Total de la actividad económica,Michoacán de Ocampo ,Michoacán de Ocampo -Total de la actividad económica,294468,301022,306026,320451,328272,334658,317003,329767,343276,352030,359466,382198,390600,406185
Total de la actividad económica,Morelos ,Morelos -Total de la actividad económica,158056,159735,171279,168178,169325,169673,168348,174984,174678,175718,182126,184145,186828,191797
Total de la actividad económica,Nayarit ,Nayarit -Total de la actividad económica,76105,86879,90270,92166,91675,98293,93038,97786,100704,100800,103627,109789,114977,119106
Total de la actividad económica,Nuevo León ,Nuevo León -Total de la actividad económica,803889,849842,885439,946838,1004637,1020367,952726,1025184,1069812,1113818,1125000,1162972,1212121,1228744
Total de la actividad económica,Oaxaca ,Oaxaca -Total de la actividad económica,202964,210757,213677,218024,219815,226634,224511,228089,234956,239680,245516,249653,259566,257146
Total de la actividad económica,Puebla ,Puebla -Total de la actividad económica,395907,405908,428179,447201,465819,468969,432579,469968,493353,524226,519257,526426,541203,557877
Total de la actividad económica,Querétaro ,Querétaro -Total de la actividad económica,212107,227917,243311,258448,271622,278348,270311,287403,308865,318294,319990,346401,372046,385622
Total de la actividad económica,Quintana Roo ,Quintana Roo -Total de la actividad económica,144233,156942,163682,174365,192905,203019,185672,195149,206054,215710,225273,232945,244139,262760
Total de la actividad económica,San Luis Potosí ,San Luis Potosí -Total de la actividad económica,224280,237464,247240,258649,264316,270024,255846,269397,283882,297294,307896,314832,331993,346378
Total de la actividad económica,Sinaloa ,Sinaloa -Total de la actividad económica,268247,284659,285708,294952,305623,316381,303066,312655,318763,330191,334097,340782,361353,381109
Total de la actividad económica,Sonora ,Sonora -Total de la actividad económica,365534,384484,404881,429625,435397,436717,410374,431502,471510,495926,510316,520660,539830,570174
Total de la actividad económica,Tabasco ,Tabasco -Total de la actividad económica,374891,391243,421080,445310,454079,475203,495944,525012,549751,564004,553628,562849,558931,523613
Total de la actividad económica,Tamaulipas ,Tamaulipas -Total de la actividad económica,391574,410113,436491,449609,464008,483351,439739,448215,456769,466371,473241,480357,493110,489100
Total de la actividad económica,Tlaxcala ,Tlaxcala -Total de la actividad económica,83254,89790,79279,77890,79020,83247,81740,88810,86032,89919,87658,90813,96926,97665
Total de la actividad económica,Veracruz de Ignacio de la Llave ,Veracruz de Ignacio de la Llave -Total de la actividad económica,613590,643859,648906,684557,705609,704314,688981,718149,746818,779730,781357,787053,799006,811543
Total de la actividad económica,Yucatán ,Yucatán -Total de la actividad económica,161636,169014,176908,185463,191217,193159,189365,196150,202894,214701,215788,223750,233104,242005
Total de la actividad económica,Zacatecas ,Zacatecas -Total de la actividad económica,101406,105665,105661,112108,115935,126384,130512,144731,144877,148729,146859,155574,158286,157898
Actividades primarias,Total nacional ,Total nacional -Actividades primarias,445468,455971,439349,466936,486682,486465,476156,488029,469662,499516,510906,530221,541200,561603
Actividades primarias,Aguascalientes ,Aguascalientes -Actividades primarias,5262,5187,5587,5753,6041,6566,6216,6517,6909,7251,7271,7782,8008,8266
Actividades primarias,Baja California ,Baja California -Actividades primarias,11068,12588,12936,12501,11854,11634,13218,13323,13184,13220,14182,14088,14811,13512
Actividades primarias,Baja California Sur ,Baja California Sur -Actividades primarias,3449,3210,3687,3415,3353,3265,3083,3805,3660,3896,3772,4662,4873,4911
Actividades primarias,Campeche ,Campeche -Actividades primarias,3010,3500,3296,3860,2935,3321,3544,4239,3803,4015,4031,4565,4859,5251
Actividades primarias,Coahuila de Zaragoza ,Coahuila de Zaragoza -Actividades primarias,11281,12051,13495,12460,12894,12417,13485,13637,13154,13283,13261,14401,13685,13069
Actividades primarias,Colima ,Colima -Actividades primarias,4468,4605,4459,4667,4866,5061,4162,4511,4796,4281,4400,4477,4352,4568
Actividades primarias,Chiapas ,Chiapas -Actividades primarias,21940,20618,18740,19720,20309,19961,20027,20757,20809,20576,20772,19843,19690,19953
Actividades primarias,Chihuahua ,Chihuahua -Actividades primarias,21365,22264,22406,24745,26363,24549,25321,27232,25441,25775,29129,31040,32793,31597
Actividades primarias,Ciudad de México ,Ciudad de México -Actividades primarias,1514,1364,1501,1312,1293,1219,1312,1296,1368,1342,1196,1216,1188,1214
Actividades primarias,Durango ,Durango -Actividades primarias,17492,18053,15835,17865,17451,17531,18055,17428,16101,18153,18811,19331,18917,19257
Actividades primarias,Guanajuato ,Guanajuato -Actividades primarias,21768,23299,20878,20308,21992,22506,22649,22062,22204,21877,23507,23775,23086,23715
Actividades primarias,Guerrero ,Guerrero -Actividades primarias,10983,10455,10817,11489,11577,12013,11609,12381,12281,11827,10922,12183,11438,12822
Actividades primarias,Hidalgo ,Hidalgo -Actividades primarias,10033,10026,9928,10950,10668,10900,10097,10304,9041,10407,10711,10748,10545,10625
Actividades primarias,Jalisco ,Jalisco -Actividades primarias,45267,48731,46694,50079,53075,53142,50839,55802,52704,57514,57477,61029,62301,64466
Actividades primarias,México ,México -Actividades primarias,19513,20342,17817,19393,22298,20585,17579,19126,16241,19621,19904,20831,21389,22511
Actividades primarias,Michoacán de Ocampo ,Michoacán de Ocampo -Actividades primarias,32804,30909,30183,34473,36053,38699,35964,33924,38108,37811,39538,43874,42843,49205
Actividades primarias,Morelos ,Morelos -Actividades primarias,5113,5236,5698,5725,5984,5229,5615,5823,5350,5223,6056,5693,5384,5887
Actividades primarias,Nayarit ,Nayarit -Actividades primarias,6335,7249,7112,7072,7690,8260,7374,7594,8483,8349,7865,7184,7143,8106
Actividades primarias,Nuevo León ,Nuevo León -Actividades primarias,7730,7385,6856,6813,7527,6889,7211,7725,6790,6905,6848,6849,6354,6110
Actividades primarias,Oaxaca ,Oaxaca -Actividades primarias,11683,11837,11404,12590,12712,13085,13283,13370,13123,13917,14507,14584,14452,14866
Actividades primarias,Puebla ,Puebla -Actividades primarias,18753,19166,19392,20228,21333,21285,19982,20963,19806,22128,22182,22048,24083,23906
Actividades primarias,Querétaro ,Querétaro -Actividades primarias,6499,6309,5560,5959,6742,6520,6394,7068,6613,7659,7861,8570,9083,8923
Actividades primarias,Quintana Roo ,Quintana Roo -Actividades primarias,1517,1648,1756,1972,1596,1338,1588,1930,1990,1889,1980,1934,1965,1896
Actividades primarias,San Luis Potosí ,San Luis Potosí -Actividades primarias,9115,9254,9352,9481,9784,10157,9399,10243,9085,9560,11505,12798,12717,13062
Actividades primarias,Sinaloa ,Sinaloa -Actividades primarias,29403,34595,32781,37269,40423,39832,37419,33660,30584,36054,36392,36998,42502,45741
Actividades primarias,Sonora ,Sonora -Actividades primarias,24566,22403,24960,23897,27050,27930,28031,28628,27827,31064,29942,30504,33302,34915
Actividades primarias,Tabasco ,Tabasco -Actividades primarias,7782,8730,7685,8278,7384,7263,7017,7148,6830,7693,7595,7514,7642,7759
Actividades primarias,Tamaulipas ,Tamaulipas -Actividades primarias,14657,16376,14854,15125,16634,16693,16254,17532,15589,15684,14374,17623,16007,17634
Actividades primarias,Tlaxcala ,Tlaxcala -Actividades primarias,3334,2770,3053,3226,3000,3585,3185,3559,2346,3558,3236,3363,3373,3282
Actividades primarias,Veracruz de Ignacio de la Llave ,Veracruz de Ignacio de la Llave -Actividades primarias,39098,37761,34804,36684,37075,36824,37917,37213,37996,38985,40751,39487,41562,41152
Actividades primarias,Yucatán ,Yucatán -Actividades primarias,7195,8310,7820,8407,8747,7818,8200,8534,8702,8920,8695,9084,9105,9306
Actividades primarias,Zacatecas ,Zacatecas -Actividades primarias,11472,9741,8005,11224,9978,10386,10125,10695,8744,11078,12232,12145,11749,14115
Actividades secundarias,Total nacional ,Total nacional -Actividades secundarias,4604522,4781936,4884760,5086480,5133608,5079734,4699987,4913184,5053170,5196910,5185312,5318303,5375575,5399343
Actividades secundarias,Aguascalientes ,Aguascalientes -Actividades secundarias,43926,46551,47603,53051,60931,58002,55709,60666,62344,66713,69597,82618,83232,89090
Actividades secundarias,Baja California ,Baja California -Actividades secundarias,171695,185062,185575,200379,199965,194806,158703,165601,164847,169745,170405,176454,193166,198124
Actividades secundarias,Baja California Sur ,Baja California Sur -Actividades secundarias,21687,23372,23291,24920,31602,34943,37857,33633,34058,32289,30272,28510,38490,36445
Actividades secundarias,Campeche ,Campeche -Actividades secundarias,987337,995878,972612,945550,878778,795329,711628,681559,650720,636347,640981,603563,553759,519828
Actividades secundarias,Coahuila de Zaragoza ,Coahuila de Zaragoza -Actividades secundarias,241604,245450,246635,260161,272421,267059,199970,252720,274894,291312,276370,300587,297442,299690
Actividades secundarias,Colima ,Colima -Actividades secundarias,19339,18047,16967,18477,20895,20810,20612,21973,24939,25347,25360,24780,25336,25378
Actividades secundarias,Chiapas ,Chiapas -Actividades secundarias,81795,68697,67798,73138,69331,74679,75769,84567,85043,85582,76770,82356,75935,67650
Actividades secundarias,Chihuahua ,Chihuahua -Actividades secundarias,139939,148417,153423,167675,173215,172747,151840,154263,155271,176408,186862,191643,203890,218457
Actividades secundarias,Ciudad de México ,Ciudad de México -Actividades secundarias,287794,297596,299595,329316,319064,306961,297600,283407,297198,306702,290198,301981,282440,289671
Actividades secundarias,Durango ,Durango -Actividades secundarias,50110,50706,47611,48038,48729,49537,49547,50604,55425,56364,59411,61003,59419,61416
Actividades secundarias,Guanajuato ,Guanajuato -Actividades secundarias,149363,153284,153070,164008,163303,166996,157349,169927,182392,191930,206340,227388,248411,260113
Actividades secundarias,Guerrero ,Guerrero -Actividades secundarias,28001,30732,31417,33701,37046,39943,36615,38657,38047,39337,41979,45351,42332,43866
Actividades secundarias,Hidalgo ,Hidalgo -Actividades secundarias,65079,74254,71022,70076,74125,75882,69871,70684,72820,74832,75662,80406,86750,89590
Actividades secundarias,Jalisco ,Jalisco -Actividades secundarias,256280,257616,270440,289306,297560,287316,264120,283245,289496,301333,310654,333438,355608,363485
Actividades secundarias,México ,México -Actividades secundarias,333113,337044,340529,348649,351912,348496,322572,357699,371543,377182,382416,373272,375789,380616
Actividades secundarias,Michoacán de Ocampo ,Michoacán de Ocampo -Actividades secundarias,62921,67432,67492,69989,73824,73008,60791,66485,66963,67719,68418,74365,72224,70031
Actividades secundarias,Morelos ,Morelos -Actividades secundarias,53200,52038,60805,54497,55524,56967,60724,62963,58398,54868,55778,58103,55567,57349
Actividades secundarias,Nayarit ,Nayarit -Actividades secundarias,12817,20621,22020,21054,20577,22934,20240,20078,20061,20655,21060,24523,24253,25102
Actividades secundarias,Nuevo León ,Nuevo León -Actividades secundarias,303750,322968,342797,368939,392755,391188,361886,392825,401705,410828,407371,420890,447587,434881
Actividades secundarias,Oaxaca ,Oaxaca -Actividades secundarias,54971,56427,54198,54586,54441,58287,61022,59467,62519,63785,68077,69924,71723,67465
Actividades secundarias,Puebla ,Puebla -Actividades secundarias,128317,129721,147166,155028,163319,163704,140227,158685,169474,186369,172756,173717,178668,186456
Actividades secundarias,Querétaro ,Querétaro -Actividades secundarias,82772,90154,96990,100792,103664,102607,99341,107725,116822,120843,119646,134309,143554,151289
Actividades secundarias,Quintana Roo ,Quintana Roo -Actividades secundarias,18094,20410,25216,27848,27856,29338,26522,23191,24081,23594,25477,28084,26670,33642
Actividades secundarias,San Luis Potosí ,San Luis Potosí -Actividades secundarias,76822,83296,88271,92616,92883,96216,91221,95901,103786,112442,117202,119581,125639,130074
Actividades secundarias,Sinaloa ,Sinaloa -Actividades secundarias,54453,61843,58720,59590,66000,73288,70805,72667,72556,69291,68644,69639,73705,77372
Actividades secundarias,Sonora ,Sonora -Actividades secundarias,153964,167917,179741,199853,198602,193866,173919,179472,208191,218907,228564,230412,242864,264434
Actividades secundarias,Tabasco ,Tabasco -Actividades secundarias,246556,257398,282578,300337,306778,323711,350471,373455,390965,396940,381270,388249,378484,346026
Actividades secundarias,Tamaulipas ,Tamaulipas -Actividades secundarias,159938,170067,190489,196104,202936,219839,190058,185239,183129,183669,184994,185020,187532,178559
Actividades secundarias,Tlaxcala ,Tlaxcala -Actividades secundarias,36490,42525,31010,26499,27399,28933,29194,34176,30452,31935,28332,30191,34321,33739
Actividades secundarias,Veracruz de Ignacio de la Llave ,Veracruz de Ignacio de la Llave -Actividades secundarias,211687,230022,230153,247922,258177,254258,249470,257279,269809,284937,284598,276655,267790,276966
Actividades secundarias,Yucatán ,Yucatán -Actividades secundarias,41181,42281,45806,50015,52509,51666,52441,52907,54252,58653,54506,58614,59566,64244
Actividades secundarias,Zacatecas ,Zacatecas -Actividades secundarias,29529,34110,33722,34367,37487,46416,51895,61466,60969,60051,55344,62678,63426,58295
Actividades terciarias,Total nacional ,Total nacional -Actividades terciarias,7509115,7812781,8023613,8377968,8634174,8836558,8472404,8951187,9352965,9734567,9946402,10219255,10656325,11067231
Actividades terciarias,Aguascalientes ,Aguascalientes -Actividades terciarias,72010,74816,76438,79308,83333,86382,81329,85022,89682,93741,95953,101680,106671,119347
Actividades terciarias,Baja California ,Baja California -Actividades terciarias,216752,225356,234498,243140,249762,251117,235825,249238,262670,273060,280938,283980,298116,312769
Actividades terciarias,Baja California Sur ,Baja California Sur -Actividades terciarias,50912,54965,60420,65321,71244,70767,67399,73218,76990,81161,80983,80997,86932,91790
Actividades terciarias,Campeche ,Campeche -Actividades terciarias,57164,60183,62626,64870,65863,68581,65586,68171,71981,74425,76073,78619,79465,75693
Actividades terciarias,Coahuila de Zaragoza ,Coahuila de Zaragoza -Actividades terciarias,183688,191643,198738,207867,215163,218851,207872,223594,235160,244957,248576,251422,262370,271114
Actividades terciarias,Colima ,Colima -Actividades terciarias,43926,45143,46833,49391,51765,53082,51673,55508,58211,60912,61663,64422,66161,71390
Actividades terciarias,Chiapas ,Chiapas -Actividades terciarias,144388,149061,153742,155557,162897,163650,160903,165665,173594,178575,183383,192569,196217,201089
Actividades terciarias,Chihuahua ,Chihuahua -Actividades terciarias,199123,205982,213382,227212,235073,243497,223918,236302,246718,256984,260299,263968,276516,289090
Actividades terciarias,Ciudad de México ,Ciudad de México -Actividades terciarias,1843621,1927990,1956996,2044096,2088208,2142211,2063604,2162208,2235241,2325890,2381672,2433390,2558721,2683185
Actividades terciarias,Durango ,Durango -Actividades terciarias,85321,88903,91556,94486,96530,98655,95482,101236,104788,108426,110830,113640,117505,122326
Actividades terciarias,Guanajuato ,Guanajuato -Actividades terciarias,267223,274370,280677,293331,303435,313523,301677,325180,343567,357115,364728,372022,390322,407785
Actividades terciarias,Guerrero ,Guerrero -Actividades terciarias,143730,151371,152986,154351,156257,156329,153016,160853,164150,166954,165911,170852,178284,181781
Actividades terciarias,Hidalgo ,Hidalgo -Actividades terciarias,104442,107270,109123,114378,116863,122019,115613,125316,132708,137558,144610,150296,156875,164027
Actividades terciarias,Jalisco ,Jalisco -Actividades terciarias,493411,512891,524995,546625,562505,578115,555360,586325,610949,636438,650448,667485,691682,733456
Actividades terciarias,México ,México -Actividades terciarias,695778,716455,741032,782660,810449,829063,798577,849989,895664,943192,962834,1007918,1039308,1075459
Actividades terciarias,Michoacán de Ocampo ,Michoacán de Ocampo -Actividades terciarias,198744,202681,208351,215989,218395,222951,220248,229358,238205,246500,251510,263959,275534,286949
Actividades terciarias,Morelos ,Morelos -Actividades terciarias,99743,102461,104777,107956,107817,107476,102010,106199,110931,115626,120292,120349,125877,128561
Actividades terciarias,Nayarit ,Nayarit -Actividades terciarias,56954,59009,61138,64040,63409,67099,65425,70115,72159,71795,74703,78083,83581,85899
Actividades terciarias,Nuevo León ,Nuevo León -Actividades terciarias,492409,519489,535786,571086,604354,622290,583629,624634,661317,696085,710781,735234,758180,787753
Actividades terciarias,Oaxaca ,Oaxaca -Actividades terciarias,136311,142494,148075,150847,152663,155262,150206,155252,159314,161978,162932,165145,173391,174815
Actividades terciarias,Puebla ,Puebla -Actividades terciarias,248837,257021,261622,271946,281166,283980,272370,290320,304073,315729,324319,330661,338452,347514
Actividades terciarias,Querétaro ,Querétaro -Actividades terciarias,122836,131454,140761,151697,161216,169222,164576,172611,185431,189792,192482,203522,219409,225409
Actividades terciarias,Quintana Roo ,Quintana Roo -Actividades terciarias,124622,134883,136710,144545,163453,172342,157561,170028,179983,190227,197816,202927,215504,227221
Actividades terciarias,San Luis Potosí ,San Luis Potosí -Actividades terciarias,138344,144914,149618,156553,161649,163651,155226,163254,171011,175292,179190,182453,193637,203242
Actividades terciarias,Sinaloa ,Sinaloa -Actividades terciarias,184391,188221,194207,198093,199199,203260,194842,206328,215623,224846,229061,234146,245146,257996
Actividades terciarias,Sonora ,Sonora -Actividades terciarias,187003,194165,200180,205876,209745,214921,208424,223402,235492,245955,251809,259745,263664,270825
Actividades terciarias,Tabasco ,Tabasco -Actividades terciarias,120553,125115,130816,136695,139917,144229,138456,144409,151957,159371,164764,167086,172805,169829
Actividades terciarias,Tamaulipas ,Tamaulipas -Actividades terciarias,216979,223670,231148,238381,244438,246818,233427,245444,258050,267018,273873,277713,289571,292907
Actividades terciarias,Tlaxcala ,Tlaxcala -Actividades terciarias,43431,44495,45216,48164,48620,50730,49360,51075,53233,54426,56090,57259,59232,60644
Actividades terciarias,Veracruz de Ignacio de la Llave ,Veracruz de Ignacio de la Llave -Actividades terciarias,362806,376076,383950,399951,410356,413231,401594,423656,439012,455808,456008,470911,489654,493425
Actividades terciarias,Yucatán ,Yucatán -Actividades terciarias,113260,118423,123282,127041,129961,133675,128724,134709,139940,147128,152587,156051,164433,168455
Actividades terciarias,Zacatecas ,Zacatecas -Actividades terciarias,60405,61814,63934,66518,68471,69581,68492,72570,75164,77599,79282,80751,83110,85488
